symbol, n_gaps, training_time, test_loss, test_acc, test_auc, test_f1, r2
A,57,2.941740036010742,0.6419588327407837,0.6666666865348816,0.421875,0.0,-0.011394321670603613
AAL,173,6.435855865478516,0.7068437337875366,0.4285714328289032,0.5816667079925537,0.554347813129425,-0.048695979823048186
AAP,96,4.91468071937561,0.6978734135627747,0.4000000059604645,0.5,0.14285710453987122,-0.01963988876114442
AAPL,84,4.888605356216431,0.6362193822860718,0.7058823704719543,0.3166666626930237,0.8275861740112305,-0.06826646942243375
ABBV,53,2.9745941162109375,1.0918195247650146,0.4545454680919647,0.38333332538604736,0.0,-0.6126815023403522
ABC,82,3.577760934829712,0.6758854389190674,0.5882353186607361,0.5357142686843872,0.7407406568527222,0.0032427057358970224
ABMD,156,7.6945178508758545,0.731230616569519,0.46875,0.5490195751190186,0.0,-0.07876272503811421
ABT,49,2.146308660507202,0.7125493884086609,0.5,0.2800000011920929,0.6666666269302368,-0.03811952502360039
ACN,48,3.0422239303588867,0.7816839218139648,0.4000000059604645,0.2708333432674408,0.0,-0.22099466461882944
ADBE,80,2.8423402309417725,0.773059606552124,0.375,0.43333330750465393,0.0,-0.2339508416824807
ADI,106,4.270716905593872,0.692947268486023,0.5,0.4917355477809906,0.42105260491371155,0.0003958643565333819
ADM,49,2.2035419940948486,0.6760969161987305,0.6000000238418579,0.4166666269302368,0.0,-0.006290013710925857
ADP,56,2.7981138229370117,0.7481268644332886,0.5,0.7222222089767456,0.6666666269302368,-0.1042062600432192
ADSK,115,5.385511875152588,0.678899347782135,0.6086956858634949,0.4642857015132904,0.0,-0.019821101214160475
AEE,30,1.6708259582519531,0.7382326126098633,0.5,0.3333333134651184,0.6666666269302368,-0.08612892207491529
AEP,35,1.8257579803466797,0.7184942960739136,0.4285714626312256,0.7083333134651184,0.5999999642372131,-0.07229751297335985
AES,145,6.705725908279419,0.7123088836669922,0.48275861144065857,0.43095237016677856,0.0,-0.03907769429834018
AFL,59,2.856844902038574,0.601466178894043,0.75,0.5370370149612427,0.8571428060531616,-0.09279300712105654
AIG,97,3.466657876968384,0.632878303527832,0.699999988079071,0.4702380895614624,0.0,-0.04856439594634199
AIZ,61,2.5001139640808105,0.8179677128791809,0.3076923191547394,0.472222238779068,0.0,-0.4600631947591618
AJG,40,1.9497478008270264,0.7118293046951294,0.5,0.875,0.6666666269302368,-0.03671934475077521
