symbol, n_gaps, test_loss, test_acc, test_auc, test_f1, r2
TMUS,66,0.5070100426673889,0.7121212482452393,0.8244239091873169,0.4650537967681885,0.31778778894944193
QCOM,110,0.5867381691932678,0.6727273464202881,0.7932422757148743,0.7163323163986206,0.15640918039176976
WAB,85,0.45252227783203125,0.8117647171020508,0.8713889122009277,0.8111110925674438,0.4149654579291051
IVZ,118,0.464876651763916,0.7881355881690979,0.8702477812767029,0.7507404685020447,0.40122776321113285
WMB,158,0.5541709065437317,0.6772152185440063,0.7726813554763794,0.5946881175041199,0.20377382946806233
WFC,62,0.5089594125747681,0.7903225421905518,0.8777778148651123,0.7461538314819336,0.331608504144394
RSG,27,0.4681784212589264,0.7407407760620117,0.8571428656578064,0.7407407760620117,0.3857623266891099
KMI,104,0.6233981251716614,0.5865384936332703,0.7022264003753662,0.571212112903595,0.11975646475734736
GPS,195,0.5351585149765015,0.7384615540504456,0.795764148235321,0.688769519329071,0.2617195369191855
SLB,128,0.5144170522689819,0.765625,0.8399804830551147,0.7506052255630493,0.32508958839264046
STE,44,0.42337721586227417,0.7727273106575012,0.8894627690315247,0.7990195751190186,0.44644793403686933
ALGN,174,0.5121350288391113,0.7356321811676025,0.8225142955780029,0.6759092211723328,0.31053943797789274
TYL,58,0.5027564167976379,0.7241379022598267,0.8315412402153015,0.7070966958999634,0.3193242057051957
MKTX,72,0.42011213302612305,0.819444477558136,0.8937499523162842,0.8102716207504272,0.45451371629118087
NTAP,122,0.48934170603752136,0.7540984153747559,0.8461328744888306,0.7668840885162354,0.3405004424590592
GILD,55,0.6423513889312744,0.6545454859733582,0.6547619104385376,0.6743242740631104,0.08815261625438509
DISCK,172,0.4452504813671112,0.7848837375640869,0.8839285373687744,0.7930258512496948,0.42206701984112205
HAL,180,0.5486925840377808,0.7388889193534851,0.8078111410140991,0.7342755794525146,0.26318086507584826
ANTM,68,0.3962746262550354,0.8676470518112183,0.9164407849311829,0.5708333253860474,0.48653417665709797
ALK,139,0.5011232495307922,0.7338129878044128,0.8333334922790527,0.6350724101066589,0.3060310018333495
QRVO,175,0.5083881616592407,0.7314285635948181,0.8299974203109741,0.7165319323539734,0.3218211285960201
HIG,79,0.4829902648925781,0.797468364238739,0.8616816997528076,0.774509847164154,0.3707058498509326
TSLA,218,0.5618804693222046,0.7064220309257507,0.7836494445800781,0.6967326998710632,0.2356357555662557
EW,79,0.5173823833465576,0.797468364238739,0.8346508741378784,0.8089815974235535,0.29947549738733636
RHI,104,0.4271056652069092,0.826923131942749,0.8883911967277527,0.7652738094329834,0.44797069241031595
C,85,0.5428379774093628,0.7411764860153198,0.8162416815757751,0.7407407164573669,0.2745585762654036
